date,EURUSD,GBPUSD,NZDUSD,CADUSD,AUDUSD
2021-04-02,1.17593,1.38315,0.7031,0.79521,0.76108
2021-04-05,1.18121,1.39045,0.70618,0.79851,0.76537
2021-04-06,1.18765,1.38245,0.70594,0.79568,0.76624
2021-04-07,1.18722,1.37394,0.70152,0.79307,0.76131
2021-04-08,1.19162,1.37361,0.70601,0.79606,0.76533
2021-04-09,1.19008,1.37043,0.70317,0.79809,0.76174
2021-04-12,1.19112,1.37442,0.70297,0.79604,0.76234
2021-04-13,1.1949,1.37512,0.70551,0.79784,0.76436
2021-04-14,1.19792,1.37753,0.71398,0.7987,0.77232
2021-04-15,1.19667,1.37824,0.71704,0.79708,0.77522
2021-04-16,1.19823,1.38441,0.71458,0.7995,0.77356
2021-04-19,1.20361,1.39865,0.71808,0.79793,0.77588
2021-04-20,1.20366,1.39377,0.71748,0.79288,0.77251
2021-04-21,1.20346,1.39286,0.72103,0.80014,0.7753
2021-04-22,1.2016,1.38405,0.71645,0.79974,0.77066
2021-04-23,1.20966,1.38818,0.71974,0.80154,0.77479
2021-04-26,1.20863,1.39006,0.72361,0.80684,0.78001
2021-04-27,1.2092,1.39092,0.72092,0.80634,0.77657
2021-04-28,1.21254,1.39421,0.72606,0.81209,0.77907
2021-04-29,1.21202,1.39437,0.72438,0.81438,0.77664
2021-04-30,1.20191,1.3813,0.71596,0.81367,0.77109
2021-05-03,1.20624,1.39087,0.72004,0.81456,0.77622
2021-05-04,1.20135,1.38869,0.71474,0.81257,0.77097
2021-05-05,1.20061,1.39066,0.72167,0.81526,0.77471
2021-05-06,1.20654,1.3893,0.72343,0.823,0.77845
2021-05-07,1.21632,1.39895,0.72811,0.82451,0.7844
2021-05-10,1.21299,1.41177,0.72644,0.82616,0.78291
2021-05-11,1.21482,1.4143,0.72713,0.8263,0.78402
2021-05-12,1.20707,1.40559,0.71588,0.82411,0.77244
2021-05-13,1.20786,1.4051,0.71843,0.82221,0.7727
2021-05-14,1.21456,1.40996,0.72509,0.82587,0.77816
2021-05-17,1.2152,1.41384,0.72131,0.82857,0.7768
2021-05-18,1.2223,1.41885,0.72391,0.829,0.77899
2021-05-19,1.21754,1.41138,0.71728,0.82412,0.77264
2021-05-20,1.22283,1.41911,0.72044,0.82931,0.7776
2021-05-21,1.21815,1.41502,0.71702,0.82894,0.77319
2021-05-24,1.2217,1.41569,0.72175,0.83019,0.77526
2021-05-25,1.22511,1.41493,0.72285,0.82883,0.77543
2021-05-26,1.21927,1.41223,0.72824,0.82471,0.7743
2021-05-27,1.21941,1.42016,0.72934,0.82871,0.77425
2021-05-28,1.21923,1.41904,0.72479,0.8282,0.77099
2021-05-31,1.22259,1.42095,0.72735,0.82919,0.77342
2021-06-01,1.2214,1.41497,0.72571,0.82846,0.77526
2021-06-02,1.22102,1.41717,0.7237,0.83089,0.77524
2021-06-03,1.2127,1.41061,0.7146,0.82581,0.76604
2021-06-04,1.2167,1.41559,0.72127,0.82777,0.77429
2021-06-07,1.21891,1.41762,0.72271,0.82764,0.77553
2021-06-08,1.2173,1.41513,0.71951,0.82559,0.77371
2021-06-09,1.21796,1.41153,0.71794,0.82569,0.77315
2021-06-10,1.21757,1.41768,0.71947,0.82688,0.77535
2021-06-11,1.21089,1.41104,0.71277,0.82229,0.77041
2021-06-14,1.21205,1.41082,0.71421,0.82325,0.77119
2021-06-15,1.21263,1.40847,0.71237,0.82055,0.76873
2021-06-16,1.1995,1.39846,0.70507,0.81453,0.7609
2021-06-17,1.19065,1.39269,0.70084,0.80942,0.75529
2021-06-18,1.18632,1.38001,0.69314,0.80207,0.74771
2021-06-21,1.19179,1.39338,0.69886,0.80909,0.75389
2021-06-22,1.19413,1.39478,0.70243,0.81255,0.7554
2021-06-23,1.19265,1.39631,0.70473,0.8126,0.7576
2021-06-24,1.19311,1.39225,0.70599,0.81154,0.75832
2021-06-25,1.19359,1.38826,0.70689,0.81324,0.75931
2021-06-28,1.19246,1.38803,0.70406,0.81035,0.7566
2021-06-29,1.18966,1.38424,0.69936,0.80637,0.75116
2021-06-30,1.18563,1.38328,0.69878,0.80663,0.74996
2021-07-01,1.18497,1.37627,0.69708,0.80405,0.7472
2021-07-02,1.18646,1.38325,0.70308,0.81123,0.75264
2021-07-05,1.18637,1.38459,0.70281,0.81023,0.75292
2021-07-06,1.18229,1.3797,0.70102,0.80279,0.74941
2021-07-07,1.17911,1.38009,0.70164,0.80104,0.7482
2021-07-08,1.18463,1.37879,0.69481,0.79786,0.74318
2021-07-09,1.18775,1.38996,0.69988,0.80357,0.74931
2021-07-12,1.18603,1.38821,0.69845,0.80297,0.7481
2021-07-13,1.17764,1.38165,0.6947,0.79902,0.74457
2021-07-14,1.18362,1.38607,0.70385,0.79933,0.74815
2021-07-15,1.18107,1.38247,0.69853,0.79402,0.7423
2021-07-16,1.1806,1.3766,0.69994,0.79265,0.73961
2021-07-19,1.17989,1.36736,0.69432,0.78446,0.73453
2021-07-20,1.17808,1.36278,0.69167,0.78861,0.73295
2021-07-21,1.1795,1.37159,0.69704,0.79606,0.73576
2021-07-22,1.17712,1.37677,0.69745,0.79618,0.73818
2021-07-23,1.17716,1.37447,0.69766,0.79592,0.73668
2021-07-26,1.18029,1.38185,0.69997,0.79713,0.73795
2021-07-27,1.1816,1.38781,0.69579,0.79346,0.73593
2021-07-28,1.18429,1.39041,0.69565,0.79858,0.73744
2021-07-29,1.18869,1.39595,0.70117,0.80345,0.73976
2021-07-30,1.18677,1.39,0.69711,0.80191,0.73439
2021-08-02,1.18718,1.38872,0.69713,0.79975,0.73641
2021-08-03,1.18648,1.39143,0.70184,0.79781,0.73946
2021-08-04,1.18372,1.38898,0.70442,0.79738,0.73803
2021-08-05,1.18324,1.39277,0.70543,0.79989,0.74036
2021-08-06,1.17615,1.38726,0.70103,0.79661,0.73546
2021-08-09,1.17361,1.3847,0.69912,0.79499,0.7329
2021-08-10,1.17208,1.38406,0.70102,0.79879,0.73484
2021-08-11,1.17394,1.38648,0.704,0.7998,0.73738
2021-08-12,1.17297,1.38074,0.7002,0.79854,0.73366
2021-08-13,1.17954,1.38686,0.70397,0.79894,0.73724
2021-08-16,1.17765,1.38429,0.70198,0.79525,0.73365
2021-08-17,1.17085,1.37413,0.69192,0.79175,0.7256
2021-08-18,1.17081,1.37513,0.68798,0.78974,0.72346
2021-08-19,1.16764,1.36342,0.68268,0.7795,0.7146
2021-08-20,1.16991,1.36225,0.68354,0.77989,0.71416
